id	time	property	value1	value2
Part.1	0.0	place	enter	M1_1
Component.1	0.0	place	enter	M2_1
Part.1	5.0	place	exit	M1_1
Part.1	5.0	place	enter	B1_1
Part.1	5.0	place	exit	B1_1
Part.1	5.0	place	enter	B2_1
Part.1	5.0	place	enter	M4_1
Part.1	5.0	place	exit	B2_1
Component.1	6.0	place	exit	M2_1
Component.2	6.4748	place	enter	M2_1
Part.2	9.4451	place	enter	M1_1
Component.3	9.4748	place	enter	M2_1
Component.4	12.4748	place	enter	M2_1
Part.2	14.4451	place	exit	M1_1
Part.2	14.4451	place	enter	B1_1
Part.3	14.4451	place	enter	M1_1
Part.2	14.4451	place	exit	B1_1
Part.2	14.4451	place	enter	B2_1
Component.5	15.4748	place	enter	M2_1
Part.1	16.0	place	exit	M4_1
Part.1	16.0	place	enter	B4_1
Part.2	16.0	place	enter	M4_1
Part.2	16.0	place	exit	B2_1
Component.2	16.0	place	exit	M2_1
Part.1	16.0	place	exit	B4_1
Part.1	16.0	place	enter	M5_1
Component.6	18.4748	place	enter	M2_1
Part.3	19.4451	place	exit	M1_1
Part.3	19.4451	place	enter	B1_1
Part.4	19.4451	place	enter	M1_1
Part.3	19.4451	place	exit	B1_1
Part.3	19.4451	place	enter	B2_1
Component.7	21.4748	place	enter	M2_1
Part.4	24.4451	place	exit	M1_1
Part.4	24.4451	place	enter	B1_1
Part.5	24.4451	place	enter	M1_1
Part.4	24.4451	place	exit	B1_1
Part.4	24.4451	place	enter	B2_1
Component.8	24.4748	place	enter	M2_1
Part.2	26.0	place	exit	M4_1
Part.2	26.0	place	enter	B4_1
Part.3	26.0	place	enter	M4_1
Part.3	26.0	place	exit	B2_1
Component.3	26.0	place	exit	M2_1
Part.2	27.0	place	exit	B4_1
Part.2	27.0	place	enter	M5_1
Part.5	29.4451	place	exit	M1_1
Part.5	29.4451	place	enter	B1_1
Part.6	29.4451	place	enter	M1_1
Part.5	29.4451	place	exit	B1_1
