id	time	property	value1	value2
Part.1	0.0	place	enter	M1
Component.1	0.0	place	enter	M2
Component.1	3.0	place	exit	M2
Component.1	3.0	place	enter	M3
Part.1	5.0	place	enter	B2
Part.1	5.0	place	enter	B1
Part.1	5.0	place	exit	B1
Part.1	5.0	place	exit	M1
Part.1	5.0	place	enter	M4
Part.1	5.0	place	exit	B2
Component.1	6.0	place	enter	B3
Component.1	6.0	place	exit	B3
Component.1	6.0	place	exit	M3
Component.2	6.4748	place	enter	M2
Part.2	9.4451	place	enter	M1
Component.2	9.47	place	exit	M2
Component.2	9.47	place	enter	M3
Component.3	9.4748	place	enter	M2
Component.3	12.47	place	exit	M2
Component.3	12.47	place	enter	M3
Component.4	12.4748	place	enter	M2
Component.2	12.4748	place	enter	B3
Component.2	12.4748	place	exit	M3
Part.2	14.4451	place	enter	B2
Part.2	14.4451	place	exit	B1
Part.3	14.4451	place	enter	M1
Part.2	14.45	place	enter	B1
Part.2	14.45	place	exit	M1
Component.4	15.47	place	exit	M2
Component.4	15.47	place	enter	M3
Component.5	15.4748	place	enter	M2
Component.3	15.4748	place	exit	M3
Component.3	15.4748	place	enter	B3
Part.1	16.0	place	enter	M5
Part.1	16.0	place	exit	M4
Part.1	16.0	place	exit	B4
Component.2	16.0	place	exit	B3
Part.2	16.0	place	exit	B2
Part.2	16.0	place	enter	M4
Part.1	16.0	place	enter	B4
Component.5	18.47	place	enter	M3
Component.5	18.47	place	exit	M2
Component.4	18.4748	place	enter	B3
Component.6	18.4748	place	enter	M2
Component.4	18.4748	place	exit	M3
Part.3	19.4451	place	exit	B1
Part.3	19.4451	place	enter	B2
Part.4	19.4451	place	enter	M1
Part.3	19.45	place	exit	M1
Part.3	19.45	place	enter	B1
Component.6	21.47	place	exit	M2
Component.6	21.47	place	enter	M3
Component.7	21.4748	place	enter	M2
Component.5	21.4748	place	enter	B3
Component.5	21.4748	place	exit	M3
Part.4	24.4451	place	exit	B1
Part.5	24.4451	place	enter	M1
Part.4	24.4451	place	enter	B2
Part.4	24.45	place	exit	M1
Part.4	24.45	place	enter	B1
Component.7	24.47	place	exit	M2
Component.7	24.47	place	enter	M3
Component.8	24.4748	place	enter	M2
Component.6	24.4748	place	exit	M3
Component.6	24.4748	place	enter	B3
Part.2	26.0	place	enter	B4
Part.3	26.0	place	enter	M4
Part.2	26.0	place	exit	M4
Component.3	26.0	place	exit	B3
Part.3	26.0	place	exit	B2
Part.2	27.0	place	enter	M5
Part.2	27.0	place	exit	B4
Part.1	27.0	place	exit	M5
Part.1	27.0	place	enter	B5
Component.8	27.47	place	enter	M3
Component.8	27.47	place	exit	M2
Component.7	27.4748	place	enter	B3
Component.7	27.4748	place	exit	M3
Part.1	28.534000000000002	place	enter	M6
Part.1	28.534000000000002	place	exit	B5
Part.5	29.4451	place	enter	B2
Part.5	29.4451	place	exit	B1
Part.6	29.4451	place	enter	M1
Part.5	29.45	place	enter	B1
Part.5	29.45	place	exit	M1
Component.8	30.4748	place	enter	B3
Component.8	30.4748	place	exit	M3
Part.6	34.4451	place	enter	B2
Part.6	34.4451	place	exit	B1
Part.7	34.4451	place	enter	M1
Part.6	34.45	place	exit	M1
Part.6	34.45	place	enter	B1
Part.2	38.0	place	exit	M5
Part.2	38.0	place	enter	B5
Part.8	39.4451	place	enter	M1
Part.7	39.4451	place	enter	B2
Part.7	39.4451	place	exit	B1
Part.7	39.45	place	exit	M1
Part.7	39.45	place	enter	B1
Part.1	40.53	place	enter	B6
Part.1	40.53	place	enter	M7
Part.1	40.53	place	exit	M6
Part.1	40.53	place	exit	B6
Part.2	40.534	place	enter	M6
Part.2	40.534	place	exit	B5
Part.9	44.4451	place	enter	M1
Part.8	44.45	place	exit	M1
Part.8	44.45	place	enter	B1
Component.9	45.7306	place	enter	M2
Component.9	48.73	place	enter	M3
Component.9	48.73	place	exit	M2
Component.10	49.06399999999999	place	enter	M2
Part.10	49.4451	place	enter	M1
Part.9	49.45	place	exit	M1
Part.9	49.45	place	enter	B1
Component.9	51.7306	place	enter	B3
Component.9	51.7306	place	exit	M3
Component.10	52.06	place	exit	M2
Component.10	52.06	place	enter	M3
Component.11	52.06399999999999	place	enter	M2
Part.2	52.53	place	enter	B6
Part.2	52.53	place	exit	M6
Part.2	53.53	place	exit	B6
Part.2	53.53	place	enter	M7
Part.1	53.534	place	exit	M7
Part.11	54.4451	place	enter	M1
Part.10	54.45	place	exit	M1
Part.10	54.45	place	enter	B1
Component.11	55.06	place	exit	M2
Component.11	55.06	place	enter	M3
Component.12	55.06399999999999	place	enter	M2
Component.10	55.06399999999999	place	enter	B3
Component.10	55.06399999999999	place	exit	M3
Component.12	58.06	place	enter	M3
Component.12	58.06	place	exit	M2
Component.11	58.06399999999999	place	exit	M3
Component.11	58.06399999999999	place	enter	B3
Component.13	58.06399999999999	place	enter	M2
Part.12	59.4451	place	enter	M1
Part.11	59.45	place	exit	M1
Part.11	59.45	place	enter	B1
Part.3	59.8655	place	exit	B4
Component.4	59.8655	place	exit	B3
Part.4	59.8655	place	exit	B2
Part.8	59.8655	place	enter	B2
Part.8	59.8655	place	exit	B1
Part.3	59.8655	place	exit	M4
Part.3	59.8655	place	enter	B4
Part.3	59.8655	place	enter	M5
Part.4	59.8655	place	enter	M4
Component.13	61.06	place	enter	M3
Component.13	61.06	place	exit	M2
Component.12	61.06399999999999	place	exit	M3
Component.14	61.06399999999999	place	enter	M2
Component.12	61.06399999999999	place	enter	B3
Component.14	64.06	place	enter	M3
Component.14	64.06	place	exit	M2
Component.13	64.064	place	exit	M3
Component.15	64.064	place	enter	M2
Component.13	64.064	place	enter	B3
Part.13	64.4451	place	enter	M1
Part.12	64.45	place	enter	B1
Part.12	64.45	place	exit	M1
Part.2	66.53399999999999	place	exit	M7
Component.15	67.06	place	exit	M2
Component.15	67.06	place	enter	M3
Component.14	67.064	place	enter	B3
Component.14	67.064	place	exit	M3
Component.16	67.064	place	enter	M2
Part.14	69.4451	place	enter	M1
Part.13	69.45	place	exit	M1
Part.13	69.45	place	enter	B1
Part.5	69.8655	place	exit	B2
Component.5	69.8655	place	exit	B3
Part.4	69.8655	place	enter	B4
Part.5	69.8655	place	enter	M4
Part.4	69.8655	place	exit	M4
